id;name;version;date;url_path
1;Industrial;connect Markets Chief;2019-12-09T15:45:05;National Awesome sky blue
2;Tactics;scale interactive generating;2019-12-09T21:32:20;mission-critical Faroe Islands Plastic
3;Car Industrial deliverables;orange Books;2019-12-09T10:31:48;monitor
4;1080p Checking Account Identity;Frozen IB;2019-12-09T15:08:31;archive Fantastic Plastic Chicken
5;payment;withdrawal COM;2019-12-09T18:46:04;Frozen bus
6;hard drive Robust Networked;Poland;2019-12-09T19:50:24;Grocery
7;red;withdrawal knowledge base Buckinghamshire;2019-12-09T08:19:10;Phased
8;Saint Lucia white;Generic neutral Salad;2019-12-09T07:47:18;virtual deposit
9;Squares mint green e-business;Ghana back-end National;2019-12-09T22:28:08;Gorgeous Profit-focused synergies
10;cutting-edge ability Hat;supply-chains magenta;2019-12-10T03:13:27;24/7
